taxa;char_w/o_NA
Gentiana_acaulis;1
Gentiana_albomarginata;1
Gentiana_algida;1
Gentiana_alsinoides;1
Gentiana_altaica;2
Gentiana_altorum;1
Gentiana_amplicrater;1
Gentiana_andrewsii;1
Gentiana_angulosa;1
Gentiana_angustifolia;1
Gentiana_anisostemon;2
Gentiana_aperta;1
Gentiana_aquatica;1
Gentiana_arethusae;1
Gentiana_arisanensis;1
Gentiana_aristata;1
Gentiana_asclepiadea;1
Gentiana_asterocalyx;1
Gentiana_atlantica;1
Gentiana_atropurpurea;1
Gentiana_atuntsiensis;2
Gentiana_austromontana;0
Gentiana_baeuerlenii;1
Gentiana_bavarica;1
Gentiana_bella;2
Gentiana_bicuspidata;1
Gentiana_boryi;1
Gentiana_brachyphylla;1
Gentiana_bredboensis;1
Gentiana_brentae;1
Gentiana_burseri;2
Gentiana_cachemirica;1
Gentiana_caelestis;1
Gentiana_calycosa;1
Gentiana_capitata;1
Gentiana_carinicostata;1
Gentiana_cephalantha;2
Gentiana_cephalodes;2
Gentiana_choanantha;1
Gentiana_cinereifolia;1
Gentiana_clausa;2
Gentiana_clusii;1
Gentiana_conduplicata;1
Gentiana_crassicaulis;2
Gentiana_crassula;1
Gentiana_crassuloides;1
Gentiana_cruciata;1
Gentiana_cruttwellii;1
Gentiana_cuneibarba;2
Gentiana_curviphylla;1
Gentiana_dahurica;1
Gentiana_davidi;1
Gentiana_decora;0
Gentiana_decumbens;1
Gentiana_delavayi;1
Gentiana_deltoidea;1
Gentiana_depressa;1
Gentiana_dinarica;1
Gentiana_dolichocalyx;1
Gentiana_douglasiana;1
Gentiana_duclouxii;1
Gentiana_emodi;1
Gentiana_epichysantha;0
Gentiana_ettingshausenii;1
Gentiana_faucipilosa;2
Gentiana_flavomaculata;1
Gentiana_flexicaulis;1
Gentiana_forrestii;1
Gentiana_franchetiana;1
Gentiana_frigida;1
Gentiana_froelichii;1
Gentiana_futtereri;2
Gentiana_gelida;1
Gentiana_glauca;1
Gentiana_grandiflora;2
Gentiana_grata;1
Gentiana_handeliana;1
Gentiana_haynaldii;2
Gentiana_heleonastes;1
Gentiana_hesseliana;2
Gentiana_hexaphylla;1
Gentiana_hyalina;1
Gentiana_intricata;2
Gentiana_itzershanensis;1
Gentiana_jamesii;1
Gentiana_kaohsiungensis;1
Gentiana_karelinii;1
Gentiana_kauffmanniana;1
Gentiana_krylovii;1
Gentiana_lacerulata;1
Gentiana_latidens;1
Gentiana_lawrencei;1
Gentiana_leucomelaena;1
Gentiana_lhassica;1
Gentiana_ligustica;1
Gentiana_linearis;1
Gentiana_lineolata;2
Gentiana_linoides;1
Gentiana_loureiroi;2
Gentiana_lutea;1
Gentiana_lycopodioides;1
Gentiana_macgregoryi;1
Gentiana_macrauchena;2
Gentiana_macrophylla;2
Gentiana_maeulchanensis;2
Gentiana_mairei;2
Gentiana_manshurica;1
Gentiana_micantiformis;1
Gentiana_mirandae;0
Gentiana_monochroa;1
Gentiana_nanobella;1
Gentiana_nerterifolia;0
Gentiana_newberryi;1
Gentiana_nivalis;1
Gentiana_nubigena;1
Gentiana_occidentalis;1
Gentiana_officinalis;1
Gentiana_olgae;1
Gentiana_olivieri;1
Gentiana_orbicularis;1
Gentiana_oreodoxa;1
Gentiana_ornata;1
Gentiana_oschtenica;1
Gentiana_pachyphylla;1
Gentiana_pannonica;1
Gentiana_panthaica;2
Gentiana_papillosa;1
Gentiana_paradoxa;1
Gentiana_parryi;2
Gentiana_pedata;1
Gentiana_pedicellata;1
Gentiana_penetii;1
Gentiana_phyllocalyx;1
Gentiana_piasezkii;2
Gentiana_pneumonanthe;1
Gentiana_praeclara;2
Gentiana_praticola;2
Gentiana_producta;1
Gentiana_prolata;1
Gentiana_prostrata;1
Gentiana_pseudosquarrosa;1
Gentiana_puberulenta;1
Gentiana_pubigera;1
Gentiana_pumila;1
Gentiana_punctata;1
Gentiana_purpurea;1
Gentiana_pyrenaica;1
Gentiana_rigescens;2
Gentiana_robusta;1
Gentiana_rostanii;1
Gentiana_rubicunda;2
Gentiana_rubricaulis;2
Gentiana_salpinx;0
Gentiana_saponaria;2
Gentiana_scabra;2
Gentiana_scabrida;1
Gentiana_sceptrum;1
Gentiana_schleicheri;1
Gentiana_sedifolia;1
Gentiana_septemfida;1
Gentiana_sikokiana;0
Gentiana_simulatrix;1
Gentiana_sino-ornata;1
Gentiana_siphonantha;1
Gentiana_spathacea;2
Gentiana_spathulifolia;1
Gentiana_squarrosa;1
Gentiana_stellata;1
Gentiana_stellulata;1
Gentiana_stipitata;1
Gentiana_straminea;2
Gentiana_striolata;1
Gentiana_suborbisepala;1
Gentiana_syringea;1
Gentiana_szechenyii;1
Gentiana_tarokoensis;2
Gentiana_tatsienensis;1
Gentiana_tentyoensis;1
Gentiana_tergestina;1
Gentiana_terglouensis;1
Gentiana_tetraphylla;1
Gentiana_tetrasticha;1
Gentiana_tianschanica;2
Gentiana_tibetica;1
Gentiana_tongolensis;1
Gentiana_trichotoma;2
Gentiana_triflora;2
Gentiana_urnula;1
Gentiana_utriculosa;1
Gentiana_veitchiorum;1
Gentiana_verna;1
Gentiana_vernayi;1
Gentiana_waltonii;2
Gentiana_walujewii;1
Gentiana_wingecarribiensis;1
Gentiana_wissmannii;1
Gentiana_yokusai;2
Gentiana_yunnanensis;2
Gentiana_zekuensis;1
Gentiana_zollingeri;2
