taxa;A;a.1;Habitats;min;max;tundra_alpine;boreal_subalpine;temperate_montane;closed;open;BS_closed;BS_open;TM_closed;TM_open;Ref
Gentiana_acaulis;1;1;Alpine grasslands, rocky meadows, screes and alpine/subalpine coniferous forest;800;3000;1;1;0;0;1;0;1;0;0;[b1]
Gentiana_albomarginata;0;1;Grasslands;1900;3300;0;1;1;0;1;0;1;0;1;[1]
Gentiana_algida;0;1;Grassy hillsides, stony hillsides, streamsides, moss-lichen and rubbly tundra, alpine meadows, wetlands. Up to the upper mountain belt.;1200;5600;1;1;0;0;1;0;1;0;0;[5], [1], [6]
Gentiana_alsinoides;0;1;Dry grassland slopes, limestone slopes;2700;3400;0;0;1;0;1;0;0;0;1;[1], [9]
Gentiana_altaica;1;0;montane tundras and alpine meadows;1141;3150;1;1;0;1;1;1;1;0;0;[2]
Gentiana_altorum;1;0;Meadow slopes;3700;4200;1;0;0;0;1;0;0;0;0;[1], [9]
Gentiana_amplicrater;1;0;Bog meadows, seeps on slopes;3900;4800;1;0;0;0;1;0;0;0;0;[1]
Gentiana_andrewsii;0;1;In moist sandy loam, at corner of open seasonally wet, now mostly dry, swale. Within a Quercus/Pinus section of mature forest. Rubus flagellaris, Calamagrostis canadensis, Spartina pectinata, Viola sagittata;28;1864;0;0;1;0;1;0;0;0;1;[5], [27]
Gentiana_angulosa;1;1;Meadows and gravelly places in the alpine zone;500;3600;1;1;0;0;1;0;1;0;0;[2],  [4], [28]
Gentiana_angustifolia;0;1;Low pine barrens;1000;2400;1;1;0;0;1;0;1;0;0;[b1]
Gentiana_anisostemon;0;1;Grassland slopes, forests;3600;4300;0;1;1;1;1;1;1;1;1;[1]
Gentiana_aperta;0;1;Meadows;2000;4000;1;0;0;0;1;0;0;0;0;[p1]
Gentiana_aquatica;1;0;Cold steppes, wet grasslands;2300;5200;1;1;0;0;1;0;1;0;0;[1], [6]
Gentiana_arethusae;1;1;"On open moist stony meadows. ""Open moist morrland."" ";2000;4800;1;1;1;0;1;0;1;0;1;[2], [1]
Gentiana_arisanensis;1;0;Alpine grasslands;2700;3700;1;0;0;0;1;0;0;0;0;[1]
Gentiana_aristata;1;1;River banks, bog meadows, alpine meadows, scrub meadows, steppes, forest clearings, sunny gravel places, valleys;1800;4600;1;1;1;0;1;0;1;0;1;[1]
Gentiana_asclepiadea;0;1;Mountain (montane) woodland;600;1325;0;1;1;0;1;0;1;0;1;[b1]
Gentiana_asterocalyx;0;1;Grasslands on limestone;3000;3200;0;0;1;0;1;0;0;0;1;[1]
Gentiana_atlantica;1;0;Mountain meadows, grassy slopes, and rocky areas;3100;3100;1;0;0;0;1;0;0;0;0;[p2]
Gentiana_atropurpurea;1;0;Grassland slopes;3200;3800;1;0;0;0;1;0;0;0;0;[1]
Gentiana_atuntsiensis;1;0;Alpine meadows, scrub, forests;2700;4800;1;1;0;1;1;1;1;0;0;[1], [p3]
Gentiana_austromontana;0;1;Mountain forests (including Northern Red Oak forests, northern hardwood forests, montane mixed oak and oak-hickory forests) and grassy balds, especially at medium to high elevations, but descending to ca. 600 m ;600;NA;0;0;1;1;0;0;0;1;0;[20]
Gentiana_baeuerlenii;0;1;Margin of Leptospermum-Baeckea swamp in sheep pasture on granitic sandy soil;248;914;0;0;1;0;1;0;0;0;1;[21]
Gentiana_bavarica;1;1;"Humid, fertile and lower altitude habitats; rocky and higher altitude habitats";1800;3600;1;0;0;0;1;0;0;0;0;[b1]
Gentiana_bella;1;1;Grassland slopes, alpine meadows, forests;3000;4100;1;1;0;1;1;1;1;0;0;[1]
Gentiana_bicuspidata;0;1;Wet meadows;2926;3048;0;0;1;0;1;0;0;0;1;[39]
Gentiana_boryi;1;0;scree and moraines;2300|1000;3200;1;1;0;0;1;0;1;0;0;[b2]
Gentiana_brachyphylla;1;0;alpine,grassland and scree;1800;2400;1;0;0;0;1;0;0;0;0;[b1]
Gentiana_bredboensis;0;1;Margin of Leptospermum-Baeckea swamp in sheep pasture on granitic sandy soil;248;914;0;0;1;0;1;0;0;0;1;[7]
Gentiana_brentae;1;0;"Consolidated screes, in small depressions and in
clefts of subhorizontal layers";2040;2640;1;0;0;0;1;0;0;0;0;[12]
Gentiana_burseri;1;1;Alpine,  grassland;1000;2700;1;1;1;1;1;1;1;0;1;[12]
Gentiana_cachemirica;0;1;rock crevices;2400;4800;1;1;1;0;1;0;1;0;1;[1], [18]
Gentiana_caelestis;1;0;Grassland slopes, alpine meadows, scrub, roadsides in valleys;3940;4500;1;0;0;0;1;0;0;0;0;[1]
Gentiana_calycosa;1;1;Moist, alpine or subalpine meadows & stream banks;2200;3300;1;1;0;0;1;0;1;0;0;[b3]
Gentiana_capitata;0;1;Meadow slopes, scrub meadows, forest margins;1500;4200;0;1;1;0;1;0;1;0;1;[2], [1]
Gentiana_carinicostata;0;1;subalpine grasslands;2900;4100;1;1;0;0;1;0;1;0;0;[29]
Gentiana_cephalantha;0;1;Grassland and roadside slopes, scrub, forest margins, forests;1800;3700|4500;0;1;1;1;1;0;1;1;1;[1], [9], [p4]
Gentiana_cephalodes;0;1;Pine forest slopes, generally in sunny places, rare in shady areas. Surrounded  by  many  small  herbs;1219;2286;0;0;1;1;1;0;0;1;1;[2], [p5]
Gentiana_choanantha;1;0;Stream and river banks, bogs, alpine meadow, scrub meadows;2700;4600;1;1;0;0;1;0;1;0;0;[2], [1]
Gentiana_cinereifolia;1;1;Subalpine young treefern-tussock grassland, seepage slopes;2300;4350;1;1;0;NA;1;0;1;0;0;[2], [36]
Gentiana_clausa;0;1;"Wood borders; stream banks/floodplain; Anthropogenic (man-made or disturbed habitats), forests, meadows and fields";475;1402;0;0;1;1;1;0;0;1;1;[5], [19]
Gentiana_clusii;1;1;subalpine-alpine;1000;NA;1;1;0;0;1;0;1;0;0;[b1]
Gentiana_conduplicata;1;0;Grassland slopes;4000;4000;1;0;0;0;1;0;0;0;0;[1]
Gentiana_crassicaulis;0;1;Wastelands, grasslands, roadside slopes, alpine meadows, scrub, forest margins, forests;2100;3900| 4500;0;1;1;1;1;0;1;1;1;[1], [p7]
Gentiana_crassula;1;0;Grassland slopes,on limestone cliffs;3400;4200;1;1;0;0;1;0;1;0;0;[2], [1]
Gentiana_crassuloides;0;1;Stream and river banks, grassland slopes, bogs, scrub, forests;2700;4500;1;1;0;0;1;0;1;0;0;[2], [1], [17]
Gentiana_cruciata;0;1;forest edges, bushy slopes, pastures, grasslands and dry meadows;700;2000;0;1;1;0;1;0;1;0;1;[b1]
Gentiana_cruttwellii;0;1;NA;2900;3000;1;1;0;NA;1;0;1;0;0;[p8]
Gentiana_cuneibarba;0;1;Grassland slopes, forests;3100;4000;0;1;1;1;1;1;1;1;1;[2], [1]
Gentiana_curviphylla;0;1;Grassland slopes, clearings in forests;2800;4300;0;1;1;0;1;0;1;0;1;[2], [1]
Gentiana_dahurica;0;1;Disturbed area of sand and gravel along lake margin, main cover of herbaceous legumes. Valley sides with dense turf and areas of large rounded boulders.  field margins, roadsides, sunny slopes, and steppes, alpine meadows;800;4500;1;1;0;0;1;0;1;0;0;[1], [p9]
Gentiana_davidi;0;1;Sunny slopes, grasslands and roadside slopes, forest margins, forests;300;3000;0;0;1;0;1;0;0;0;1;[1], [p10]
Gentiana_decora;0;1;Roadbanks and diciduous woods, dry and dry-mesic, acidic forests, especially mixed oak, oak/heath, and Northern Red Oak forests;600;1500;0;0;1;1;0;0;0;1;0;[5], [19]
Gentiana_decumbens;0;1;Along streams, grassland slopes, clearings in forests, dry steppes, alpine and steppe, sometimes saline meadows, stony and rubbly slopes, high-mountain forests.;1200;2700;0;1;1;0;1;0;1;0;1;[2], [1], [6]
Gentiana_delavayi;0;1;Grassland slopes, roadsides, scrub;1400;3900;0;1;1;0;1;0;1;0;1;[2], [1]
Gentiana_deltoidea;1;0;Alpine meadow mixed conifers with mostly meadow at the upper elevation.  Growing on a moist slope;3300;3700;1;1;0;0;1;0;1;0;0;[1], [9]
Gentiana_depressa;1;0;Steep banks, cliff faces;3000;4500;1;0;0;0;1;0;0;0;0;[2], [1]
Gentiana_dinarica;0;1;arid and rocky pastures;1600;2300;1;1;0;0;1;0;1;0;0;[11]
Gentiana_dolichocalyx;1;0;Alpine meadows, roadside slopes, scrub;2900;3800;1;1;0;0;1;0;1;0;0;[1], [9]
Gentiana_douglasiana;0;1;Arctic-Meadow, peat lands/wet bogs and meadows from the lowland to alpine zones (Klinkenberg 2014).;35|5;180|1090;1;1;1;0;1;0;1;0;1;[24]
Gentiana_duclouxii;0;1;Hillsides;1800;1900;0;0;1;0;1;0;0;0;1;[1]
Gentiana_emodi;1;0;Alpine meadows, gravel zone on high mountains;4300;5700;1;0;0;0;1;0;0;0;0;[1]
Gentiana_epichysantha;0;1;Pine forests;3700;3900;0;0;1;1;0;0;0;1;0;[1]
Gentiana_ettingshausenii;1;1;Subalpine grassland, moist slope with sparse short-grassland, very open, much Nertera, moss coushions in open mossy forests;2300;3970;1;1;1;0;1;0;1;0;1;[4]
Gentiana_faucipilosa;0;1;Grasslands on gravel places, forests;2200;3800;0;0;1;1;1;0;0;1;1;[2], [1]
Gentiana_flavomaculata;0;1;Grassland slopes;1800;3000;0;0;1;0;1;0;0;0;1;[2], [1]
