Websites;;;;;;;
Reference Key;Author(s);Title of Page;Website Name;Publisher;Year Published;URL;Date Accessed
1;; ;eFlora;Missouri Botanical Garden, St. Louis, MO & Harvard University Herbaria, Cambridge, MA;2008; http://www.efloras.org;26.02.2024
2;POWO;Plants of the World Online.;POWO;Facilitated by the Royal Botanic Gardens, Kew;2024;http://www.plantsoftheworldonline.org/;26.02.2024
3;NA;Alpine Garden Society Plant Encyclopaedia;AlpineGardenSociety;The Alpine Garden Society;2024;http://encyclopaedia.alpinegardensociety.net/plants/Gentiana/sikokiana ;01.02.2024
4;BHL Consortium;Biodiversity Heritage Library;BHL;Smithsonian Libraries and Archives;2006;https://www.biodiversitylibrary.org/;26.02.2024
5;Dr. John Hilty;Illinois Wildflowers;Illinois Wildflowers;Dr. John Hilty;2002;http://www.illinoiswildflowers.info/;01.02.2024
6;Vaganov A, Shmakov A.;Biodiversity of the Altai-Sayan ecoregion;;The Altai State University;2021;http://bioaltai-sayan.ru/regnum/species_all.php?right=box-spec-p/gentiana.php&left=go.php&species=gentiana_aquatica;01.02.2024
7;NA;The NSW Plant Information Network System;PlantNET;Royal Botanic Gardens and Domain Trust, Sydney;2004;https://plantnet.rbgsyd.nsw.gov.au;01.02.2024
8;NA;Plantarium, the plant determinant online.;Plantarium;NA;2007;https://www.plantarium.ru;01.02.2024
9;Project members;Biodiversity of the Hengduan Mountains and adjacent areas of south-central China;Hengduan-biodiversity;Arnold Arboretum of Harvard University, Cambridge, MA, and more;2006;http://hengduan.huh.harvard.edu/fieldnotes;20.02.2024
10;NA;iPlant;iPlant;Institute of Botany, Chinese Academy of Sciences, National Key Laboratory of Plant Diversity and Characteristic Economic Crops. Beijing;2009;https://www.iplant.cn;01.02.2024
11;NA;Forum Plantarum Florae Italicae;Acta plantarum;NA;2007;https://www.actaplantarum.org;01.02.2024
12;NA;Database of European Vegetation, Habitats and Flora.;FloraVeg.EU;Vegetation Science Group and European Vegetation Survey;2022;www.floraveg.eu;01.02.2024
13;Wikipedia contributors;Gentiana spathacea;Wikipedia;Wikipedia, The Free Encyclopedia;2023;https://es.wikipedia.org/wiki/Gentiana_spathacea;01.02.2024
14;Wikipedia contributors;Gentiana sedifolia;Wikipedia;Wikipedia, The Free Encyclopedia;2022;https://en.wikipedia.org/w/index.php?title=Gentiana_sedifolia&oldid=1071852600;12.02.2024
15;Wikipedia contributors;Gentiana scabrida;Wikipedia;Wikipedia, The Free Encyclopedia;2018;http://fr.wikipedia.org/w/index.php?title=Gentiana_scabrida&oldid=150938095.;12.02.2024
16;Wikipedia contributors;Gentiana glauca;Wikipedia;Wikipedia, The Free Encyclopedia;2021;https://en.wikipedia.org/w/index.php?title=Gentiana_glauca&oldid=1009912824;12.02.2024
25;Wikipedia contributors;Gentiana triflora;Wikipedia;Wikipedia, The Free Encyclopedia;2021;https://en.wikipedia.org/w/index.php?title=Gentiana_triflora&oldid=1009912997;31.01.2024
17;Sankara Rao, K., Deepak Kumar;Gerbera gossypina (Royle) Beauverd;India Flora Online;India Flora Online;2024;http://indiafloraonline-ces.iisc.ac.in/plants.php?name=Gerbera gossypina.;01.02.2024
18;Sankara Rao, K., Deepak Kumar;Geranium robertianum L.;India Flora Online;India Flora Online;2024;https://indiaflora-ces.iisc.ac.in/herbsheet.php?id=5593&cat=13;02.02.2024
19;NA;Digital Atlas of the Virginia Flora ;vaplantatlas;Virginia Botanical Associates.  c/o Virginia Botanical Associates, Blacksburg;NA;http://www.vaplantatlas.org;01.02.2024
